id,adresse,postcode,city
"C201400218838","","85320","Corpe"
"C201400218847","","85600","Saint-Hilaire-de-Loulay"
"C201400218889","","85600","Montaigu"
"C201400218888","","85600","Montaigu"
"C201400218890","","85360","La Tranche-sur-Mer"
"C201400218908","","85450","Chaillé-les-Marais"
"C2014001510017","","85770","Le Poiré-sur-Velluire"
"C2014001510028","","85670","La Chapelle-Palluau"
"C2014001510042","","85300","Challans"
"C2014001510082","","85450","Chaillé-les-Marais"
"C2014001510091","","",""
"C201400189898","","85270","Saint-Hilaire-de-Riez"
"C201400189907","","85000","La Roche-sur-Yon"
"C201400189933","","85340","Olonne-sur-Mer"
"C201400189934","","85340","Olonne-sur-Mer"
"C201400189968","","85320","Mareuil-sur-Lay-Dissais"
"C201400189988","","85350","L'Ile-d'Yeu"
"B201302461735","","",""
"B201302461741","","",""
"B201302461748","","85800","Saint-Gilles Croix-de-Vie"
"B201302461751","","85360","La Tranche-sur-Mer"
"B201302483768","","",""
"C2014000713891","","85500","Les Herbiers"
"C2014000713923","","85440","Grosbreuil"
"C2014000713943","","85600","Boufféré"
"C2014000713984","","85340","Olonne-sur-Mer"
"C2014000714016","","85340","L Ã¿le d'Olonne"
"C2014000714010","","85130","La Verrie"
"C2014000714035","","85370","Nalliers"
"C2014000714052","","85200","Fontenay-le-Comte"
"C2014000714072","","85140","Saint-Martin-des-Noyers"
"C2014000714104","","85580","Saint-Michel-en-l'Herm"
"C2014000714106","","85600","Saint-Georges-de-Montaigu"
"C2014000714127","","85350","L'Ile-d'Yeu"
"C2014000714165","","85330","Noirmoutier-en-l'Ile"
"C2014000714204","","85170","Saint-Denis-la-Chevasse"
"C2014000714219","","85580","Triaize"
"C2014000714234","","85300","Challans"
"C2014000714250","","85290","Mortagne-sur-Sèvre"
"C2014000714294","","85110","Chantonnay"
"C2014000714291","","85150","La Chapelle-Achard"
"C2014000714337","","85160","Saint-Jean-de-Monts"
"C2014000714352","","85300","Challans"
"C2014000714349","","85500","Les Herbiers"
"C201400097065","","85200","Fontenay-le-Comte"
"C201400097074","","85220","Coëx"
"C201400097114","","85710","La Garnache"
"C201400097123","","85000","La Roche-sur-Yon"
"C201400097138","","85140","Chauché"
